,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
log_lik[35725],1.46621,0.00129944,0.0603782,1.36361,1.46813,1.56147,2158.98,0.860383,0.999806
log_lik[35726],1.52589,0.00124309,0.0596286,1.42437,1.52775,1.61862,2300.94,0.916955,0.999811
log_lik[35727],1.26439,0.00164286,0.0649516,1.15308,1.26542,1.36846,1563.06,0.622901,1.00016
log_lik[35728],0.231545,0.00194254,0.115372,0.031029,0.23957,0.405424,3527.46,1.40574,0.999591
log_lik[35729],1.48288,0.00113513,0.0666337,1.36864,1.48548,1.58877,3445.88,1.37323,1.00064
log_lik[35730],-1.81351,0.00614667,0.346244,-2.41128,-1.7933,-1.27534,3173.1,1.26452,0.99967
log_lik[35731],1.17715,0.00204265,0.11947,0.971984,1.18461,1.35956,3420.85,1.36326,0.999895
log_lik[35732],-0.0707587,0.00220209,0.125924,-0.295546,-0.0636786,0.116911,3269.96,1.30313,1.00192
log_lik[35733],1.35742,0.00283773,0.165189,1.073,1.36896,1.61097,3388.59,1.3504,0.999806
log_lik[35734],1.03731,0.00157587,0.0619606,0.93114,1.039,1.1377,1545.93,0.616073,1.00018
log_lik[35735],1.77297,0.000961563,0.0594035,1.67133,1.77441,1.86783,3816.53,1.52094,1.0018
log_lik[35736],1.71912,0.000983351,0.0577553,1.62155,1.72047,1.81129,3449.59,1.37471,1.00079
log_lik[35737],1.31787,0.00215961,0.128429,1.09568,1.32603,1.51293,3536.49,1.40934,0.999847
log_lik[35738],1.41054,0.00113282,0.0647623,1.30031,1.41154,1.51252,3268.31,1.30247,1.00014
log_lik[35739],0.913986,0.0015677,0.0954126,0.750071,0.920591,1.05611,3704.14,1.47615,0.99978
log_lik[35740],1.57508,0.00144127,0.0763084,1.4456,1.57742,1.69486,2803.19,1.11711,1.00187
log_lik[35741],0.917952,0.00210332,0.0755499,0.790566,0.92055,1.0387,1290.2,0.51416,1.00128
log_lik[35742],1.45924,0.00120008,0.0603184,1.35745,1.46061,1.55411,2526.28,1.00675,0.999765
log_lik[35743],0.170965,0.0022474,0.122234,-0.0412855,0.176578,0.358058,2958.18,1.17888,1.00217
log_lik[35744],1.70335,0.00185623,0.0770101,1.57396,1.70696,1.82546,1721.2,0.685921,1.00317
log_lik[35745],0.910207,0.00202304,0.0764211,0.781449,0.912712,1.03179,1426.98,0.568673,1.00121
log_lik[35746],1.57473,0.0011818,0.0589616,1.47507,1.57699,1.66643,2489.15,0.991959,0.999887
log_lik[35747],0.805118,0.00159049,0.0961444,0.638804,0.812024,0.949329,3654.16,1.45623,0.999733
log_lik[35748],1.40802,0.00275605,0.105671,1.22571,1.41377,1.57476,1470.07,0.585844,1.00292
log_lik[35749],0.831828,0.00198542,0.0802745,0.695625,0.834601,0.958906,1634.74,0.651467,1.00135
log_lik[35750],1.72242,0.000979202,0.0600224,1.62035,1.7233,1.81825,3757.35,1.49736,1.00131
log_lik[35751],1.72927,0.00096587,0.0595501,1.62801,1.73045,1.82421,3801.27,1.51486,1.0013
log_lik[35752],0.902485,0.00625182,0.234663,0.491694,0.917417,1.26952,1408.89,0.56146,1.00065
log_lik[35753],1.06386,0.00164117,0.0999054,0.892267,1.07041,1.21381,3705.69,1.47677,0.999868
log_lik[35754],1.11879,0.00297295,0.174622,0.814647,1.13111,1.39172,3450.04,1.37489,1.00048
log_lik[35755],1.34015,0.00228002,0.134934,1.10598,1.34869,1.54644,3502.4,1.39575,0.999829
log_lik[35756],0.809451,0.00192352,0.0683185,0.692559,0.81215,0.918746,1261.48,0.502718,1.00089
log_lik[35757],1.53373,0.0011402,0.0737316,1.40965,1.53706,1.64971,4181.66,1.66645,1.00193
log_lik[35758],1.12769,0.00187007,0.0688551,1.01003,1.12911,1.23956,1355.67,0.540255,1.00055
log_lik[35759],1.20429,0.00173795,0.0659932,1.09161,1.20551,1.3104,1441.86,0.574601,1.00037
log_lik[35760],0.163708,0.0101096,0.569456,-0.9183,0.225907,0.932098,3172.84,1.26442,1.00044
log_lik[35761],1.0316,0.0016335,0.0626287,0.925122,1.03313,1.13298,1469.98,0.585805,1.00014
log_lik[35762],0.765876,0.00191266,0.0677723,0.652116,0.768257,0.874706,1255.54,0.500349,1.0012
log_lik[35763],1.28694,0.0012947,0.0625507,1.18028,1.28806,1.3849,2334.15,0.930191,0.99981
log_lik[35764],1.21333,0.00177242,0.107547,1.02698,1.22012,1.37593,3681.82,1.46725,0.999998
log_lik[35765],0.41394,0.00182096,0.0861852,0.264603,0.418928,0.548575,2240.07,0.8927,1.00198
log_lik[35766],0.839564,0.00149707,0.091371,0.683001,0.84487,0.977953,3725.04,1.48448,0.999788
log_lik[35767],1.23456,0.00131965,0.062641,1.12864,1.23622,1.33222,2253.19,0.897927,0.999753
log_lik[35768],-2.27227,0.00673457,0.377447,-2.93761,-2.25182,-1.68329,3141.18,1.2518,1.00089
log_lik[35769],1.52116,0.00120892,0.059481,1.42058,1.52295,1.61399,2420.8,0.964723,0.999803
log_lik[35770],1.78456,0.000976309,0.0590064,1.68331,1.7856,1.87947,3652.78,1.45568,1.00185
log_lik[35771],1.73838,0.0015734,0.0832378,1.59477,1.74175,1.87141,2798.75,1.11534,1.0025
log_lik[35772],1.68795,0.00100192,0.0599932,1.58863,1.68917,1.78421,3585.39,1.42883,1.0009
log_lik[35773],1.51417,0.00117716,0.0596133,1.4138,1.51562,1.6078,2564.58,1.02202,0.999794
log_lik[35774],1.7393,0.00137428,0.0755377,1.60882,1.74294,1.86032,3021.19,1.20399,1.00281
log_lik[35775],0.890058,0.00164354,0.098824,0.719512,0.896614,1.03759,3615.49,1.44082,0.999779
log_lik[35776],1.53584,0.00115002,0.0740766,1.41115,1.53887,1.6522,4149.04,1.65345,1.00198
log_lik[35777],1.69463,0.00110801,0.0578299,1.59633,1.696,1.78632,2724.06,1.08557,1.00049
log_lik[35778],1.7187,0.00100211,0.0608396,1.61595,1.72006,1.81505,3685.88,1.46887,1.00141
log_lik[35779],1.05157,0.00456178,0.258012,0.585884,1.07578,1.43109,3198.96,1.27483,0.999902
log_lik[35780],1.53342,0.0012573,0.0775808,1.40358,1.53687,1.65634,3807.4,1.5173,1.00229
log_lik[35781],1.27449,0.00160704,0.0639677,1.16443,1.2751,1.37694,1584.41,0.631407,1.00019
log_lik[35782],1.17603,0.00182221,0.109864,0.986351,1.18215,1.34346,3635.05,1.44862,0.999859
log_lik[35783],1.43608,0.00109475,0.0661121,1.32473,1.43777,1.54156,3646.95,1.45336,1.00032
log_lik[35784],1.4657,0.0013022,0.0604142,1.36289,1.46771,1.561,2152.41,0.857763,0.999807
log_lik[35785],1.03289,0.00157511,0.0960562,0.868581,1.03915,1.17819,3719.03,1.48208,0.999935
log_lik[35786],1.51674,0.00140341,0.0826538,1.37916,1.52034,1.6481,3468.64,1.3823,1.00254
log_lik[35787],1.69881,0.000978764,0.0588973,1.60017,1.70044,1.79306,3621.05,1.44304,1.00081
log_lik[35788],1.17379,0.00548471,0.186155,0.850318,1.18511,1.46566,1151.97,0.459077,1.00107
log_lik[35789],1.0493,0.00193258,0.0717831,0.929004,1.05012,1.164,1379.65,0.549811,1.00076
log_lik[35790],1.65123,0.00101462,0.0596018,1.55222,1.65229,1.747,3450.74,1.37517,1.00046
log_lik[35791],1.78668,0.00130527,0.0727595,1.66265,1.79124,1.90263,3107.24,1.23828,1.00273
log_lik[35792],0.878783,0.00168582,0.100564,0.705877,0.886007,1.02989,3558.5,1.41811,0.999806
log_lik[35793],1.28646,0.0013195,0.0624023,1.18035,1.28781,1.38391,2236.58,0.891308,0.999833
log_lik[35794],1.5472,0.00129788,0.0709046,1.42381,1.5497,1.65992,2984.54,1.18938,1.00132
log_lik[35795],1.44429,0.00110374,0.0656589,1.33148,1.44579,1.54907,3538.77,1.41025,1.00035
log_lik[35796],-1.62072,0.00525403,0.301842,-2.14464,-1.60328,-1.15297,3300.46,1.31528,0.999809
log_lik[35797],-1.94922,0.00627514,0.358453,-2.56663,-1.92465,-1.39568,3263.0,1.30035,0.999595
log_lik[35798],1.60325,0.00106161,0.0603916,1.50222,1.60462,1.69986,3236.11,1.28963,1.00022
log_lik[35799],1.76448,0.00131822,0.0735413,1.63896,1.76893,1.88273,3112.34,1.24031,1.00271
log_lik[35800],0.71828,0.00179774,0.0891062,0.567736,0.722644,0.8593,2456.75,0.979048,1.00141
log_lik[35801],0.723379,0.00154085,0.0936533,0.561209,0.728235,0.86388,3694.25,1.47221,0.999686
log_lik[35802],0.762572,0.00191093,0.068098,0.648189,0.764756,0.871583,1269.93,0.506082,1.00118
log_lik[35803],1.5527,0.00109835,0.060477,1.45179,1.55382,1.64844,3031.77,1.2082,0.999969
log_lik[35804],1.25013,0.00197965,0.118416,1.04763,1.25677,1.42976,3578.02,1.42589,0.999856
log_lik[35805],1.29294,0.00321462,0.127355,1.07527,1.29896,1.48941,1569.53,0.62548,1.00206
log_lik[35806],1.76222,0.000971728,0.0579471,1.66477,1.76399,1.85544,3556.11,1.41716,1.00135
log_lik[35807],1.35352,0.00284019,0.165256,1.06806,1.3652,1.6074,3385.49,1.34916,0.999792
log_lik[35808],1.288,0.00132109,0.0624097,1.18199,1.28919,1.38552,2231.73,0.889374,0.999837
log_lik[35809],1.74861,0.00120532,0.0695921,1.63269,1.75217,1.86036,3333.59,1.32848,1.00275
log_lik[35810],0.955039,0.00572316,0.23365,0.552266,0.967804,1.3174,1666.71,0.664206,1.00026
log_lik[35811],1.16769,0.00171712,0.104385,0.985682,1.17469,1.32497,3695.55,1.47273,0.999968
log_lik[35812],1.28272,0.00128593,0.0626688,1.17526,1.28401,1.38055,2375.04,0.946484,0.999792
log_lik[35813],0.93031,0.00153145,0.0934849,0.770583,0.936636,1.0693,3726.3,1.48498,0.999834
log_lik[35814],0.833106,0.00257848,0.147461,0.574793,0.83984,1.05938,3270.61,1.30338,0.999702
log_lik[35815],-5.43518,0.0225312,1.01365,-7.19393,-5.37068,-3.86594,2023.99,0.806587,0.999836
log_lik[35816],1.46293,0.00128204,0.0740387,1.3389,1.46492,1.58037,3335.13,1.32909,1.00108
log_lik[35817],1.19127,0.00177621,0.0675855,1.07557,1.19265,1.30075,1447.83,0.57698,1.00033
log_lik[35818],1.09243,0.00214727,0.0676793,0.976471,1.09382,1.20118,993.431,0.395896,1.00114
log_lik[35819],1.7695,0.00102233,0.0631351,1.66434,1.7727,1.8703,3813.84,1.51987,1.00232
log_lik[35820],0.821694,0.00151779,0.0925714,0.662463,0.827158,0.961685,3719.89,1.48243,0.999747
log_lik[35821],0.74903,0.00208724,0.123065,0.535986,0.756138,0.934665,3476.37,1.38538,1.00089
log_lik[35822],1.1142,0.00189069,0.0699493,0.995247,1.11529,1.22659,1368.76,0.545468,1.00055
log_lik[35823],1.1509,0.00186539,0.0663732,1.03652,1.15203,1.25695,1266.04,0.504536,1.00071
log_lik[35824],-1.79218,0.0061748,0.344846,-2.38669,-1.77281,-1.26049,3118.92,1.24293,0.999706
log_lik[35825],-1.36473,0.00673732,0.318858,-1.91437,-1.34728,-0.873621,2239.86,0.892616,0.999938
log_lik[35826],0.8981,0.00193643,0.0780488,0.766544,0.900804,1.02186,1624.54,0.647401,1.00114
log_lik[35827],-5.68185,0.0197761,0.951322,-7.33052,-5.60871,-4.19717,2314.06,0.922185,0.999717
log_lik[35828],0.647317,0.00206715,0.123084,0.438804,0.653622,0.832137,3545.38,1.41288,1.00038
log_lik[35829],0.983202,0.00168987,0.0628972,0.876634,0.984926,1.08509,1385.34,0.552078,1.00033
log_lik[35830],1.28685,0.00130261,0.0624866,1.18041,1.28771,1.38487,2301.15,0.917039,0.999818
log_lik[35831],0.965733,0.00192613,0.0762299,0.836652,0.968242,1.08635,1566.32,0.624198,1.00092
log_lik[35832],0.644052,0.00177527,0.0922167,0.485988,0.647657,0.789187,2698.29,1.07531,1.00153
log_lik[35833],-0.480808,0.00286232,0.176276,-0.791769,-0.475692,-0.204971,3792.72,1.51145,1.00159
log_lik[35834],-1.91378,0.0063413,0.354576,-2.52559,-1.89628,-1.36577,3126.53,1.24596,0.999726
log_lik[35835],0.653961,0.00262443,0.088905,0.502233,0.658344,0.793551,1147.58,0.457324,1.00229
log_lik[35836],1.40715,0.00135403,0.0610887,1.30245,1.40851,1.5051,2035.47,0.811161,0.999878
log_lik[35837],1.40474,0.0013667,0.0613072,1.29972,1.40631,1.50358,2012.24,0.801903,0.999879
log_lik[35838],1.07099,0.00200782,0.0693213,0.953302,1.07284,1.1829,1192.02,0.475038,1.0009
log_lik[35839],0.818276,0.00189886,0.0822185,0.678741,0.820747,0.948539,1874.79,0.74713,1.00128
log_lik[35840],0.400337,0.00169457,0.101828,0.220703,0.405767,0.556961,3610.93,1.439,0.999558
log_lik[35841],1.54692,0.00117515,0.0712914,1.42622,1.54921,1.65977,3680.35,1.46667,1.00157
log_lik[35842],1.55812,0.00125294,0.0742135,1.43286,1.56079,1.67621,3508.39,1.39814,1.00189
log_lik[35843],-0.384835,0.00283533,0.170821,-0.682885,-0.37723,-0.118061,3629.73,1.4465,1.00168
log_lik[35844],1.67144,0.00213438,0.0896335,1.51558,1.67596,1.81037,1763.59,0.702814,1.00289
